Amount,Country,Offer ID,Tag,Time
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:32:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:32:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:32:00
$0.12,IT,#6ecbc3,#mainstream,2018-06-26 16:32:00
$0.24,TW,#9c570e,#mainstream,2018-06-26 16:32:00
$0.07,BR,#75c2f2,#mainstream,2018-06-26 16:32:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:32:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:32:00
$0.27,EG,#eab3d9,#aggressive,2018-06-26 16:32:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:32:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:32:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:32:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:32:00
$0.17,PL,#7331e3,#aggressive,2018-06-26 16:32:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:32:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:32:00
$0.12,AR,#14eaa9,#mainstream,2018-06-26 16:32:00
$1.20,DE,#4703cb,#adult,2018-06-26 16:32:00
$0.06,IN,#e8adc0,#aggressive,2018-06-26 16:32:00
$0.06,IN,#e8adc0,#aggressive,2018-06-26 16:32:00
$0.12,IT,#6ecbc3,#mainstream,2018-06-26 16:32:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:32:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:32:00
$0.12,IT,#6ecbc3,#mainstream,2018-06-26 16:32:00
$0.12,IT,#6ecbc3,#mainstream,2018-06-26 16:32:00
$2.16,US,#aaaac2,#mainstream,2018-06-26 16:32:00
$0.12,IN,#f61e28,#mainstream,2018-06-26 16:32:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:32:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:32:00
$0.12,ID,#ee795c,#aggressive,2018-06-26 16:32:00
$0.12,IT,#6ecbc3,#mainstream,2018-06-26 16:32:00
$0.79,FR,#69c873,#mainstream_desktop,2018-06-26 16:32:00
$0.34,LB,#a205e7,#aggressive,2018-06-26 16:33:00
$0.42,EG,#a097ee,#mainstream,2018-06-26 16:33:00
$0.03,SD,#e49967,#aggressive,2018-06-26 16:33:00
$0.32,IQ,#c540ee,#mainstream,2018-06-26 16:33:00
$0.36,JP,#2230c4,#aggressive,2018-06-26 16:33:00
$0.36,JP,#2230c4,#aggressive,2018-06-26 16:33:00
$0.06,IN,#e8adc0,#aggressive,2018-06-26 16:33:00
$1.20,MY,#1801b6,#mainstream,2018-06-26 16:33:00
$0.36,JP,#2230c4,#aggressive,2018-06-26 16:33:00
$0.44,IT,#419236,#mainstream,2018-06-26 16:33:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:33:00
$1.06,TR,#a63bbe,#aggressive,2018-06-26 16:33:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:33:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:33:00
$0.12,IT,#6ecbc3,#mainstream,2018-06-26 16:33:00
$0.79,FR,#4948b8,#mainstream,2018-06-26 16:33:00
$0.02,BD,#b10761,#aggressive,2018-06-26 16:33:00
$0.36,JP,#2230c4,#aggressive,2018-06-26 16:33:00
$0.27,EG,#aaeb01,#mainstream,2018-06-26 16:33:00
$0.07,BR,#95627d,#mainstream_desktop,2018-06-26 16:33:00
$0.12,MM,#ee573b,#aggressive,2018-06-26 16:33:00
$0.12,MM,#4371f9,#mainstream,2018-06-26 16:33:00
$0.01,SD,#b10761,#aggressive,2018-06-26 16:33:00
$0.24,IT,#46ef7c,#mainstream,2018-06-26 16:33:00
$0.36,JP,#2230c4,#aggressive,2018-06-26 16:33:00
$0.40,JP,#4277bf,#aggressive,2018-06-26 16:33:00
$0.06,IN,#e8adc0,#aggressive,2018-06-26 16:33:00
$0.11,MM,#b14067,#aggressive,2018-06-26 16:33:00
$0.10,ID,#306c65,#aggressive,2018-06-26 16:33:00
$0.27,EG,#aaeb01,#mainstream,2018-06-26 16:33:00
$0.02,US,#746d92,#adult,2018-06-26 16:33:00
$0.16,IT,#4d57a9,#mainstream,2018-06-26 16:33:00
$0.12,RO,#4754d2,#aggressive,2018-06-26 16:33:00
$0.12,PH,#33b9fa,#aggressive,2018-06-26 16:33:00
$0.10,BR,#63f7f4,#adult,2018-06-26 16:33:00
$0.12,IT,#6ecbc3,#mainstream,2018-06-26 16:33:00
$0.12,ID,#33b9fa,#aggressive,2018-06-26 16:33:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:33:00
$0.24,TW,#9c570e,#mainstream,2018-06-26 16:33:00
$0.12,IT,#6ecbc3,#mainstream,2018-06-26 16:33:00
$0.11,EG,#d48908,#aggressive,2018-06-26 16:33:00
$0.12,PH,#cf1dbd,#aggressive,2018-06-26 16:33:00
$2.01,IT,#68f7eb,#mainstream,2018-06-26 16:33:00
$0.27,TH,#d48908,#aggressive,2018-06-26 16:33:00
$0.15,HN,#6f7f35,#mainstream,2018-06-26 16:33:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:33:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:33:00
$0.10,IN,#300565,#adult,2018-06-26 16:33:00
$0.15,MX,#566132,#mainstream,2018-06-26 16:33:00
$2.60,US,#c2666d,#aggressive_desktop,2018-06-26 16:33:00
$0.12,IT,#6ecbc3,#mainstream,2018-06-26 16:33:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:33:00
$2.80,GR,#8a5c75,#mainstream,2018-06-26 16:33:00
$0.12,IT,#6ecbc3,#mainstream,2018-06-26 16:33:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:33:00
$0.12,IT,#6ecbc3,#mainstream,2018-06-26 16:33:00
$0.06,IN,#e8adc0,#aggressive,2018-06-26 16:33:00
$2.00,IT,#e4c87d,#mainstream,2018-06-26 16:33:00
$0.77,LB,#41b9bf,#aggressive,2018-06-26 16:33:00
$0.12,IT,#6ecbc3,#mainstream,2018-06-26 16:33:00
$2.16,US,#482626,#mainstream,2018-06-26 16:33:00
$0.10,CR,#91f08b,#adult,2018-06-26 16:33:00
$0.05,KH,#ac1297,#aggressive,2018-06-26 16:33:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:33:00
$0.24,TW,#9c570e,#mainstream,2018-06-26 16:33:00
$2.42,IT,#68f7eb,#mainstream,2018-06-26 16:33:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:33:00
$0.06,KH,#9314cd,#aggressive,2018-06-26 16:33:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:33:00
$2.16,US,#aaaac2,#mainstream,2018-06-26 16:33:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:33:00
$2.42,IT,#68f7eb,#mainstream,2018-06-26 16:33:00
$0.09,AR,#8f5cba,#aggressive,2018-06-26 16:33:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:33:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:33:00
$0.12,PH,#cf1dbd,#aggressive,2018-06-26 16:33:00
$1.28,GB,#a366f7,#mainstream,2018-06-26 16:33:00
$0.12,IT,#6ecbc3,#mainstream,2018-06-26 16:33:00
$0.40,US,#b20494,#aggressive,2018-06-26 16:33:00
$0.16,IT,#a56a2a,#mainstream,2018-06-26 16:33:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:33:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:33:00
$0.12,IT,#6ecbc3,#mainstream,2018-06-26 16:33:00
$0.06,IN,#86d8fb,#aggressive,2018-06-26 16:34:00
$0.12,PH,#33b9fa,#aggressive,2018-06-26 16:34:00
$2.80,IT,#f3e144,#mainstream,2018-06-26 16:34:00
$0.38,HK,#1ba0ea,#aggressive,2018-06-26 16:34:00
$0.02,KH,#d48908,#aggressive,2018-06-26 16:34:00
$0.18,ES,#b0b4fe,#aggressive,2018-06-26 16:34:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:34:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:34:00
$0.12,PH,#cf1dbd,#aggressive,2018-06-26 16:34:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:34:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:34:00
$0.36,JP,#04ddfd,#aggressive,2018-06-26 16:34:00
$0.53,TN,#b10761,#aggressive,2018-06-26 16:34:00
$0.12,IT,#6ecbc3,#mainstream,2018-06-26 16:34:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:34:00
$0.06,US,#551005,#mainstream,2018-06-26 16:34:00
$0.06,US,#551005,#mainstream,2018-06-26 16:34:00
$0.05,GB,#6f7f35,#mainstream,2018-06-26 16:34:00
$0.50,CM,#0aee30,#adult,2018-06-26 16:34:00
$0.04,IN,#49cf3c,#aggressive_desktop,2018-06-26 16:34:00
$0.02,TH,#0d5d26,#adult,2018-06-26 16:34:00
$0.02,GB,#6f7f35,#mainstream,2018-06-26 16:34:00
$0.09,MA,#4e4513,#aggressive,2018-06-26 16:34:00
$0.12,IT,#6ecbc3,#mainstream,2018-06-26 16:34:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:34:00
$0.06,ID,#96e0b9,#mainstream,2018-06-26 16:34:00
$0.08,ID,#300565,#adult,2018-06-26 16:34:00
$0.02,TH,#0d5d26,#adult,2018-06-26 16:34:00
$0.12,PH,#cf1dbd,#aggressive,2018-06-26 16:34:00
$0.06,US,#551005,#mainstream,2018-06-26 16:34:00
$0.06,US,#5fa94d,#mainstream,2018-06-26 16:34:00
